iter	Passed	Remaining
1528	22698	35184
1529	22712	35167
1530	22728	35154
1531	22743	35138
1532	22757	35123
1533	22770	35105
1534	22782	35086
1535	22798	35073
1536	22811	35056
1537	22826	35040
1538	22839	35023
1539	22851	35004
1540	22869	34994
1541	22883	34977
1542	22895	34959
1543	22909	34942
1544	22922	34925
1545	22940	34914
1546	22952	34896
1547	22965	34879
1548	22979	34862
1549	22994	34847
1550	23012	34838
1551	23026	34822
1552	23040	34805
1553	23054	34788
1554	23068	34773
1555	23085	34761
1556	23100	34747
1557	23115	34732
1558	23129	34716
1559	23143	34700
1560	23161	34689
1561	23173	34671
1562	23186	34653
1563	23200	34637
1564	23217	34626
1565	23240	34623
1566	23255	34608
1567	23272	34596
1568	23289	34584
1569	23305	34572
1570	23329	34570
1571	23345	34557
1572	23358	34540
1573	23372	34524
1574	23386	34507
1575	23404	34497
1576	23419	34482
1577	23433	34467
1578	23449	34453
1579	23464	34439
1580	23483	34430
1581	23497	34414
1582	23510	34397
1583	23525	34381
1584	23540	34367
1585	23559	34358
1586	23576	34347
1587	23589	34329
1588	23602	34312
1589	23615	34294
1590	23633	34283
1591	23647	34268
1592	23661	34252
1593	23674	34234
1594	23688	34218
1595	23706	34207
1596	23723	34196
1597	23738	34181
1598	23761	34178
1599	23775	34162
1600	23794	34153
1601	23808	34137
1602	23821	34120
1603	23836	34104
1604	23851	34090
1605	23869	34079
1606	23884	34065
1607	23898	34049
1608	23912	34033
1609	23928	34019
1610	23947	34010
1611	23961	33994
1612	23974	33977
1613	23989	33962
1614	24003	33946
1615	24021	33936
1616	24035	33919
1617	24049	33903
1618	24063	33888
1619	24078	33872
1620	24097	33864
1621	24113	33850
1622	24127	33834
1623	24141	33819
1624	24155	33802
1625	24172	33791
1626	24185	33774
1627	24198	33756
1628	24213	33740
1629	24227	33725
1630	24246	33716
1631	24260	33700
1632	24275	33685
1633	24290	33670
1634	24305	33656
1635	24324	33647
1636	24341	33634
1637	24356	33619
1638	24369	33602
1639	24383	33586
1640	24402	33577
1641	24418	33563
1642	24432	33548
1643	24446	33532
1644	24459	33514
1645	24477	33503
1646	24492	33489
1647	24506	33473
1648	24519	33456
1649	24533	33439
1650	24551	33429
1651	24565	33413
1652	24579	33396
1653	24592	33380
1654	24606	33363
1655	24623	33351
1656	24636	33334
1657	24650	33317
1658	24663	33301
1659	24677	33284
1660	24696	33274
1661	24709	33258
1662	24723	33242
1663	24737	33226
1664	24752	33211
1665	24770	33201
